SUBURB_ID,LOCALITY_NAME,SUBURB_NAME,STATE,POSTCODE,LONGITUDE,LATITUDE;;;
308,Sydney,Henley,NSW,2111,151.136093,-33.841431;;;
309,Sydney,Hillsdale,NSW,2036,151.231339,-33.952679;;;
310,Sydney,Hinchinbrook,NSW,2168,150.864883,-33.911201;;;
311,Sydney,Ebenezer,NSW,2756,150.884811,-33.543381;;;
317,Sydney,Elderslie,NSW,2335,151.116653,-33.94495;;;
318,Sydney,Holroyd,NSW,2142,150.997162,-33.830601;;;
319,Sydney,Holsworthy,NSW,2173,150.756027,-34.049713;;;
320,Sydney,Ellis;Lane,NSW,2570,150.671127,-34.043991;;
321,Sydney,Homebush,NSW,2140,151.082397,-33.863979;;;
322,Sydney,Emerton,NSW,2770,150.806274,-33.7439;;;
324,Sydney,Emu;Heights,NSW,2750,150.647995,-33.742378;;
325,Sydney,Homebush;West,NSW,2140,151.069717,-33.858559;;
326,Sydney,Emu;Plains,NSW,2750,150.659576,-33.753479;;
327,Sydney,Horningsea;Park,NSW,2171,150.837692,-33.946548;;
328,Sydney,Hornsby,NSW,2077,151.096878,-33.700779;;;
329,Sydney,Engadine,NSW,2233,151.013306,-34.064999;;;
330,Sydney,Hornsby;Heights,NSW,2077,151.096939,-33.672401;;
331,Sydney,Englorie;Park,NSW,2560,150.794586,-34.080582;;
332,Sydney,Horsley;Park,NSW,2164,150.869858,-33.802082;;
333,Sydney,Hoxton;Park,NSW,2171,150.848038,-33.928009;;
334,Sydney,Hunters;Hill,NSW,2110,151.15332,-33.834709;;
335,Sydney,Huntingwood,NSW,2148,150.888657,-33.795502;;;
336,Sydney,Erskine;Park,NSW,2759,150.805801,-33.804039;;
337,Sydney,Huntleys;Cove,NSW,2111,151.136414,-33.839802;;
338,Sydney,Huntleys;Point,NSW,2111,151.140564,-33.840832;;
339,Sydney,Eschol;Park,NSW,2558,150.808426,-34.029442;;
340,Sydney,Hurlstone;Park,NSW,2193,151.127945,-33.906818;;
341,Sydney,Hurstville,NSW,2220,151.107285,-33.967319;;;
342,Sydney,Hurstville;Grove,NSW,2220,151.094986,-33.975288;;
345,Sydney,Ingleside,NSW,2101,151.265015,-33.679211;;;
346,Sydney,Kellyville,NSW,2155,150.955566,-33.711269;;;
347,Sydney,Faulconbridge,NSW,2776,150.54599,-33.691029;;;
348,Sydney,Kellyville;Ridge,NSW,2155,150.925644,-33.701111;;
349,Sydney,Kemps;Creek,NSW,2178,150.805534,-33.870445;;
350,Sydney,Kensington,NSW,2033,151.222641,-33.909962;;;
351,Sydney,Flemington,NSW,2140,151.067947,-33.86467;;;
352,Sydney,Kenthurst,NSW,2156,151.004654,-33.657173;;;
353,Sydney,Killara,NSW,2071,151.156876,-33.766312;;;
354,Sydney,Killarney;Heights,NSW,2087,151.217453,-33.772949;;
355,Sydney,Kings;Langley,NSW,2147,150.924515,-33.74567;;
356,Sydney,Freemans;Reach,NSW,2756,150.822723,-33.578587;;
357,Sydney,Kings;Park,NSW,2148,150.916168,-33.74855;;
359,Sydney,Kingsford,NSW,2032,151.227463,-33.923401;;;
360,Sydney,Kingsgrove,NSW,2208,151.098938,-33.93948;;;
361,Sydney,Georges;Heights,NSW,2088,151.256714,-33.83329;;
363,Sydney,Gilead,NSW,2560,150.820274,-34.214821;;;
364,Sydney,Kirribilli,NSW,2061,151.215866,-33.847488;;;
365,Sydney,Kogarah,NSW,2217,151.132675,-33.963169;;;
366,Sydney,Kogarah;Bay,NSW,2217,151.125153,-33.980961;;
368,Sydney,Glebe;Point,NSW,2037,151.185753,-33.87822;;
369,Sydney,Kyeemagh,NSW,2216,151.163376,-33.95013;;;
370,Sydney,Glen;Alpine,NSW,2560,150.786697,-34.08707;;
371,Sydney,Kyle;Bay,NSW,2221,151.099136,-33.98885;;
372,Sydney,Glenbrook,NSW,2773,150.62117,-33.766548;;;
373,Sydney,La;Perouse,NSW,2036,151.231308,-33.987888;;
374,Sydney,Glendenning,NSW,2761,150.854614,-33.741699;;;
375,Sydney,Lakemba,NSW,2195,151.07756,-33.920738;;;
376,Sydney,Lalor;Park,NSW,2147,150.931458,-33.76199;;
377,Sydney,Lane;Cove,NSW,2066,151.169983,-33.8139;;
378,Sydney,Glenmore,NSW,2570,150.687637,-33.774834;;;
379,Sydney,Lane;Cove;North,NSW,2066,151.148514,-33.801651;
380,Sydney,Glenmore;Park,NSW,2745,150.678741,-33.78487;;
381,Sydney,Lane;Cove;West,NSW,2066,151.153275,-33.806252;
382,Sydney,Lansdowne,NSW,2430,150.929871,-33.883875;;;
383,Sydney,Glenwood,NSW,2768,150.927795,-33.733089;;;
384,Sydney,Lansvale,NSW,2166,150.955261,-33.89954;;;
385,Sydney,Glossodia,NSW,2756,150.832474,-33.40782;;;
386,Sydney,Lavender;Bay,NSW,2060,151.208603,-33.843182;;
387,Sydney,Leichhardt,NSW,2040,151.158554,-33.883678;;;
